일자,기관 합계,기타법인,개인,외국인 합계,전체
"2026/03/10","776082.0","-92633.0","-1780867.0","1097418.0","0.0"
"2026/03/09","-2296027.0","137132.0","5336999.0","-3178104.0","0.0"
